ID,Nom,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
IY44AX,Eglise Saint-Morand,Altkirch,7.25289214851597,47.6243492028955,bon,100.0,,"Monument funéraire de Saint-Morand situé dans la nef. Sculpture représentant le Christ, Saint-Pierre et Saint-Paul, sur le côté Sud, à l'intérieur de la nef : inscription par arrêté du 28 juin 1937 ; Restes du monument Mont des Oliviers, situé près de l'église : inscription par arrêté du 24 juillet 1937",2018-12-31
IQWWSV,Fontaine de la Vierge,Altkirch,7.23726932351356,47.6236136787263,mauvais,10.0,Fleurons et petits pinacles manquants ou cassés. Bordure béton à reprendre partiellement. ,Fontaine de la Vierge à l'exception de la statue de la Vierge : inscription par arrêté du 9 mars 1987 ; Statue de la Vierge réutilisée dans la fontaine de la Vierge : classement par arrêté du 9 mars 1987,2018-12-31
IU5B8E,Hôpital Saint-Morand,Altkirch,7.25316827282321,47.6243133417764,mauvais,3.0,Portail extérieur : délitements et réparations anciennes au ciment. Peinture chapelle abîmée. ,Deux portails d'entrée et chapelle au premier étage du bâtiment principal : inscription par arrêté du 24 juillet 1937,2018-12-31
IZAA72,Hôtel de Ville,Altkirch,7.23755262898471,47.6234271969293,moyen,0.0,"remontées capillaires, travaux d'entretien à prévoir sur la couverture",Façade et toiture : inscription par arrêté du 28 juin 1937,2018-12-31
I4T3FQ,Musée Sundgauvien,Altkirch,7.23743718303631,47.6233419142846,moyen,0.0,"Dernière porte au sommet de l'escalier, ancienne réparation du linteau défectueuse. ","Façades y compris le garde-corps en fer forgé au premier étage de la façade sur rue, les toitures et tourelle avec escalier en vis (cad. 1 145) : inscription par arrêté du 9 juillet 1986",2018-12-31
I4VCS1,Presbytère catholique,Altkirch,7.23760861132055,47.6243875755481,bon,20.0,,Motif sculpté situé au-dessus de la porte dans la tourelle d'escalier : inscription par arrêté du 24 juillet 1937,2018-12-31
IRE8K9,Maison,Altkirch,7.23711059595799,47.6224614096658,mauvais,50.0,"Allèges+voutes en encorbellement+pierres éclatées en de nombreux endroits, réparations aléatoires.",Oriel : inscription par arrêté du 24 juillet 1937,2018-12-31
IJ21FO,Maison,Altkirch,7.23836594322914,47.6227247189799,bon,0.0,MH régulièrement repeint sans autorisation. A déprotéger.,Encadrement de fenêtre Renaissance au rez-de-chaussée (façade principale) : inscription par arrêté du 24 juillet 1937,2018-12-31
IYTCNH,Porte de ville (vieille),Altkirch,7.2368299805631,47.6241305932025,bon,,restauration complète 2015,Porte de ville (vieille) : inscription par arrêté du 28 juin 1937,
IAA7FF,Maison et moulin,Altkirch,7.07048906383658,47.6893498347171,moyen,,éléments de mécanisme en bois endommagés,Façades et toitures (cad. A 550) : inscription par arrêté du 9 novembre 1934 ; Roue à auges et mécanisme du moulin (cad. A 550) : classement par arrêté du 9 novembre 1984,2018-12-31
IFO7PX,Couvent de Luppach (ancien),Altkirch,7.33127623289399,47.5066468854361,bon,0.0,"micro algues, pb de ventilation",Caveau sépulcral (cad. 5 23) : inscription par arrêté du 22 décembre 1981,2018-12-31
ISWV3A,Manoir de Flaxlanden (ancien),Altkirch,7.33734036059116,47.5295610395687,moyen,35.0,"Remontées capillaires extérieures, humidité persistante dans la cave, nez de marches cassés. ","Façades, toitures, cave en totalité et escalier à balustres (cad. 1 87) : inscription par arrêté du 9 mai 1988",2018-12-31
IGN4PA,Eglise catholique Saint-Jacques-le-Majeur,Altkirch,7.26546350415028,47.5368769357656,mauvais,100.0,"consolidation maçonneries,traitement de la charpente,remontées capillaires,couverture en cours",Eglise : classement par arrêté du 6 décembre 1898,2018-12-31
ITKULZ,Château (ruines),Altkirch,7.31800068781989,47.4936517686643,mauvais,85.0,gros travaux d'entretien et de mise en valeur des ruines à prévoir,Château (ruines) : classement par journal officiel du 16 février 1930,2018-12-31
IL1RVZ,Eglise catholique Saint-Bernard-de-Menthon,Altkirch,7.31500706592607,47.4946132217178,moyen,0.0,"enduits partiellement dégradé, travaux d'entretien 2016",Tour et choeur : classement par arrêté du 27 juin 1902,2018-12-31
IAT4GY,Chapelle Burnkirch (vocable Saint-Martin),Altkirch,7.2605818814415,47.6635569808511,bon,0.0,2013/14-PC restauration couverture (charpente y/c) + confortation assise. Intérieurs ? ,Chapelle dite Burnkirch (vocable Saint-Martin) (cad. F 383) : inscription par arrêté du 31 décembre 1958,2018-12-31
I229F5,Eglise catholique Saint-Martin (ancienne),Altkirch,7.26300792768965,47.673001268435,moyen,50.0,Défaut d'entretien façade et couverture,Tour avec ses peintures murales (cad. 8 23) : classement par arrêté du 14 mai 1991,2018-12-31
INB8VC,Installation de bains romains (vestiges),Altkirch,7.27839908371739,47.5061614353181,bon,65.0,dévégétalisation à prévoir,Installation de bain romaine (vestiges) : classement par arrêté du 17 janvier 1907,2018-12-31
IW7ZFK,Abbaye cistercienne (vestiges de l'ancienne),Altkirch,7.247589526116764,47.422488287566196,moyen,0.0,"enduits ciment, peintures acryliques, couverture remaniée","Ancienne enceinte avec le portail principal ; pont sur la Lucelle ; grande fontaine à l'entrée des jardins ; jardins avec leurs terrasses et le grand escalier ; portail de la maison de l'abbé Delphis ; parties basses d'origine de l'ancienne grange (restaurant) ; parties basses d'origine de l'ancienne forge (chapelle) ; ancienne hôtellerie en totalité avec ses décors intérieurs ; sol et vestiges qu'il recèle (cad. A 40 à 42, 46, 188, 189) : inscription par arrêté du 6 février 1996",2018-12-31
INX44Q,Tribunal (ancien),Altkirch,7.38048582624671,47.4652741283928,moyen,0.0,"travaux de couverture, enduit, menuiserie sur la 1/2 à prévoir","Façades et toitures, plafond peint du couloir du rez-de-chaussée, linteau daté de 1621 de la porte de la cuisine au rez-de-chaussée, porte datée 1542 au premier étage (cad. D 124, 263) : inscription par arrêté du 16 juillet 1987",2018-12-31
I0ISBA,Château de Morimont (ruines),Altkirch,7.21428796232701,47.4455875288498,mauvais,80.0,"Non entretenu, nécessite des travaux de restauration.",Château de Morimont (ruines) : classement par arrêté du 1er octobre 1841,2018-12-31
