,id,name,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
0,IU71JB,Château de Meywihr (vestiges de l'ancien),Colmar-Ribeauvillé,7.28104841421748,48.1222975384722,mauvais,0.0,"Vestiges dégagés en mauvais état: pierres instables, murs effondrés.",Façade : classement par arrêté du 20 février 1920,2018-12-31
1,IBOR91,Eglise catholique Saint-Martin,Colmar-Ribeauvillé,7.28170808686401,48.1271708069479,moyen,50.0,Reprise des enduits et peintures extérieurs. ,"Le château du Max en totalité avec son enceinte, ses douves, sa porterie et ses communs, ainsi que son allée d’accès et son portail, sa tour pigeonnier, l’assiette de son niveau de défense primitif au sud et son jardin ouest, situé sur la parcelle n°22, figurant au cadastre section ZT : inscription par arrêté du 19 avril 2021",2018-12-31
2,IFC9FP,Eglise de pèlerinage de la Visitation de la Bienheureuse Vierge Marie,Colmar-Ribeauvillé,7.23063880565394,48.0998638126505,moyen,,Assainissement des façades (enduit bâtard) et révision couvertures à prévoir. ,"Le manoir, ainsi que la parcelle (cad. B 866) : inscription par arrêté du 5 septembre 2005",2018-12-31
3,IY1J1Q,Fontaine de l'Homme Sauvage,Colmar-Ribeauvillé,7.28178016931929,48.1254694929403,bon,,Épaufrures. Efflorescences salines sur la cuve.,Eglise : classement par arrêté du 22 juillet 1913,
4,I64TLF,Hôtel de Ville (restes),Colmar-Ribeauvillé,7.28134056292045,48.1253339259966,moyen,10.0,"Traitement des arases, épaufrures, dévégétalisation à prévoir.",Hôtel de Ville (restes) (cad. E 437p) : classement par arrêté du 16 février 1965,2018-12-31
5,ITKCDU,Maison,Colmar-Ribeauvillé,7.2800567394457,48.1253261326098,,40.0,,Porche (cad. A 1619) : inscription par arrêté du 28 février 1984,2018-12-31
6,IT8OXX,Porte Haute,Colmar-Ribeauvillé,7.27838246699289,48.1248802880666,bon,10.0,Révision couverture à prévoir.,"Cheminée du 16e siècle au premier étage : inscription par arrêté du 7 octobre 1927 ; Façades, escalier et cheminée du rez-de-chaussée : inscription par arrêté du 27 avril 1948",2018-12-31
7,IJW856,Tour du Pétrole ,Colmar-Ribeauvillé,7.27926078488406,48.1259275270741,moyen,,Tuiles à remplacer (projet de travaux de restauration façades et toiture en cours),Tour du Pétrole ou des Citoyens : inscription par arrêté du 5 mai 1931,2007-09-13
8,ICCAT6,Tour des Voleurs,Colmar-Ribeauvillé,7.28451064629908,48.125755138116,moyen,0.0,Accord sur PC pour travaux de restauration.,Tour des Voleurs : inscription par arrêté du 5 mai 1931,2018-12-31
9,IS992O,[A RADIER] Eglise catholique Saint-Jacques-le-Majeur,Colmar-Ribeauvillé,7.22165773143202,48.1979059892564,moyen,25.0,maître autel non visité,Eglise (cad. D 559) : classement par arrêté du 20 juillet 1992 ; Mur de soutènement (cad. D 559) : inscription par arrêté du 20 juillet 1992,2018-12-31
10,IMV6NV,Eglise catholique Saint-Michel,Colmar-Ribeauvillé,7.55657048866579,48.0941280287868,bon,5.0,PC 2013 remplacement couv. nef. Révision couverture tvx à prévoir. Peintures non vues.,Tour et peintures murales dans la nef côté est et nord-est : classement par arrêté du 18 mai 1901,2018-12-31
11,IIH0YY,Pierres tombales près de l'église protestante,Colmar-Ribeauvillé,7.32515908357429,48.1582429251965,moyen,,Remontées capillaires en partie basse des pierres. ,Pont-levant (cad. G 290) : inscription par arrêté du 3 novembre 1987,2018-12-31
12,I3Y0MZ,Fontaine gothique,Colmar-Ribeauvillé,7.32634217890918,48.1586056500467,bon,0.0,,Le portail d'entrée et la tourelle d'angle : inscription par arrêté du 4 octobre 1932,2018-12-31
13,I7BCC8,Eglise catholique Saints-Pierre-et-Paul (DETRUITE),Colmar-Ribeauvillé,7.32475199031773,48.1446573803494,,5.0,,Tabernacle et restes de peintures du clocher : inscription par arrêté du 5 mai 1931,2018-12-31
14,I9OHE9,Puits,Colmar-Ribeauvillé,7.32473280872809,48.1420030137473,bon,5.0,Dévégétalisation à prévoir + traitement des agrafes métalliques.,Eglise : inscription par arrêté du 29 mai 1926,2018-12-31
15,IFXYYO,Cour des Dîmes (ancienne),Colmar-Ribeauvillé,7.36094812888206,48.2046871769967,moyen,30.0,"Joints défectueux, réparations au ciment, épaufrures et encrassement.",Façade et toiture sur rue : inscription par arrêté du 12 avril 1974,2018-12-31
