ID,Nom,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
IGYXYU,Eglise protestante de Kuhlendorf,Haguenau-Wissembourg,7.92175411962627,48.9145560987281,moyen,20.0,"couverture vétuste à restaurer, enduits extérieurs en soubassement + menuiseries à entretenir",Les façades et les toitures (cad. 251 01/44) : inscription par arrêté du 24 janvier 1978,2018-12-31
IK21VU,Ancienne pharmacie de la cour princière ,Haguenau-Wissembourg,7.86188341091178,48.768194192446,bon,25.0,restaurée en 2013,Façades et toitures (cad. S 87/53) : inscription par arrêté du 16 juillet 1987,2012-12-31
ICVELK,Ancienne église de Stephansfeld ,Haguenau-Wissembourg,7.70731808413112,48.7179911235097,bon,15.0,,Deux tours y compris le bâtiment qui les relie (cad. 69) : inscription par arrêté du 14 avril 1965,2018-12-31
ILCYQX,Vestiges du château de Hohenfels,Haguenau-Wissembourg,7.61386203854902,49.0029786594518,moyen,40.0,,"Château de Hohenfels : vestiges en totalité y compris les éléments troglodytiques (cad. 9 1, 2) : inscription par arrêté du 30 décembre 1985",2018-12-31
I0LEEQ,Vestiges du château de Wineck ,Haguenau-Wissembourg,7.66209542620375,49.0135800974571,moyen,80.0,,"Château de Wineck : vestiges en totalité y compris les éléments troglodytiques (cad. 49 2, 3) : inscription par arrêté du 30 décembre 1985",2018-12-31
IKYSC7,Ruines du château de Schoeneck,Haguenau-Wissembourg,7.65849474585083,49.0187570378188,moyen,20.0,,"Les ruines du château (cad. 33 7, 8) : inscription par arrêté du 28 décembre 1984",2018-12-31
IZ6NHT,Eglise catholique Saint-Louis (DEMOLIE),Haguenau-Wissembourg,8.0488211,48.7969503,bon,50.0,,Clocher : classement par arrêté du 10 octobre 1927,2018-12-31
IE86LC,Banc-reposoir,Haguenau-Wissembourg,7.71034534300486,48.944291025654,bon,30.0,entretenu et restauré en partie basse,Banc-reposoir dit Banc du roi de Rome (cad. 7 40) : inscription par arrêté du 20 octobre 1982,2018-12-31
I4B3WL,Eglise protestante de Mitschdorf,Haguenau-Wissembourg,7.7838414654881305,48.952590003038,moyen,50.0,,Peintures murales dans la tour : classement par arrêté du 6 décembre 1898,2018-12-31
II108C,Banc-reposoir ,Haguenau-Wissembourg,7.761600517266116,48.93940794786235,bon,80.0,"éléments en grès désolidarisés en partie basse de la structure, restauration à prévoir",Banc-reposoir dit banc du roi de Rome (cad. 22 67) : inscription par arrêté du 10 février 1983,2018-12-31
I2PO16,Eglise Saint-Georges,Haguenau-Wissembourg,7.78684491382528,48.8137343869596,moyen,20.0,"Couverture fatiguée, effl. enduit int. parties basses, soubassement grès ext. très dégradé, salissur",Eglise Saint-Georges : classement par journal officiel du 16 février 1930,2018-12-31
IXZQCY,Eglise Saint-Nicolas,Haguenau-Wissembourg,7.79218731771706,48.82023679838,bon,0.0,Joints lavés soubassement grès. Importants encroûtements noirs.,Eglise Saint-Nicolas : inscription par arrêté du 5 avril 1930,2018-12-31
I8JXD0,Fontaine,Haguenau-Wissembourg,7.7874601705475,48.8136170402879,bon,,Développement cryptogamique et arrangements floraux très invasifs,Fontaine : inscription par arrêté du 20 mars 1939,
ILD0XN,Fontaine aux Abeilles,Haguenau-Wissembourg,7.78593480303944,48.813673512939,bon,100.0,,Fontaine dite Fontaine aux abeilles (cad. AE 18) : classement par arrêté du 8 février 1984,2018-12-31
IKV0BW,Ancien hôpital civil ,Haguenau-Wissembourg,7.78832341677633,48.8147629613957,bon,0.0,,Façades et toitures du bâtiment principal et des deux ailes sur la cour d'honneur ; chapelle : inscription par arrêté du 5 avril 1930,2022-01-18
IJ8VA6,Ancien hôtel de Fleckenstein ,Haguenau-Wissembourg,7.79137879153957,48.8141597263215,moyen,100.0,Chapelle non vue. Couverture vétuste. Grès mauvais état. Enduits cimentés.,Façade principale avec tourelle d'escalier ; façade du bâtiment annexe renfermant la chapelle ; la toiture ; l'ancienne chapelle et les plafonds en stuc des deux pièces du premier étage : inscription par arrêté du 5 avril 1930,2017-12-31
IYN8B4,Ancien hôtel du bailli Hoffmann ,Haguenau-Wissembourg,7.7873690054564,48.813929194975,moyen,70.0,"Salissures importantes, pierre de taille pulvérulente et desquamée, sous-face balcons mauvais état","Façades et toitures des quatre ailes en totalité, à l'exclusion des adjonctions plus récentes dans la cour (tourelle d'escalier polygonale, construction dans l'angle Sud-Est) ; escalier à balustres en bois dans l'aile entre cour et jardin (cad. 3/AD 7) : inscription par arrêté du 30 décembre 1985",2018-12-31
I4KDUM,Ancien hôtel du Commandant-de-la-Place ,Haguenau-Wissembourg,7.789674166394175,48.813154470791616,moyen,,couverture en mauvais état à restaurer en urgence,"Façades et toitures du bâtiment principal sur la rue des Soeurs, sur la place du théâtre et sur la cour : inscription par arrêté du 5 avril 1930",
I5JMCA,Ancien hôtel de Koenigsbruck ,Haguenau-Wissembourg,7.79251037971024,48.8167819254607,bon,20.0,Desquamations importantes sur le soubassement en grès,Façade principale avec ses ferronneries et la toiture : inscription par arrêté du 5 avril 1930,2018-12-31
I3YXL6,Ancien hôtel Barth,Haguenau-Wissembourg,7.78784292286768,48.8139419272192,bon,60.0,,"Façade sur rue, toiture et escalier : inscription par arrêté du 5 avril 1930",2018-12-31
