,id,name,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
0,I50BPJ,Abbaye,Molsheim,7.5276449,48.5226069,moyen,80.0,"Couverture tour de croisée, escalier tribune et intrados des voûtes à réviser","Maître-autel : classement par décret du 12 mai 1932 ; Façade à pignon sur rue et portail Renaissance de l'ancienne maison abbatiale actuellement presbytère : inscription par arrêté du 28 juillet 1937 ; Eglise, actuellement église paroissiale Saint-Cyriaque (cad. A 180) : classement par arrêté du 21 mars 1983",2018-12-31
1,INRG4C,Chapelle Saint-Ulrich,Molsheim,7.50045196198329,48.562143878931,mauvais,5.0,édifice très cimenté > humidité > peintures murales en danger,"Baptistère (ancien) , dit chapelle Saint-Ulrich : classement par liste de 1862",2018-12-31
2,ITKWWC,Eglise Dompeter,Molsheim,7.50542394683883,48.5566659921283,moyen,100.0,"Très cimenté, pathologies liées à l'humidité, à assainir d'urgence",Façades et toitures : classement par arrêté du 23 mars 1951,2018-12-31
3,IIPKOF,Eglise protestante ,Molsheim,7.18686352446558,48.4216210969373,moyen,5.0,"Intérieurs non vus. Enduits ext. cimentés, salissures, probable humidité","La tour ainsi que la pierre tombale datée de 1486 et placée dans la nef, à l'entrée du choeur : inscription par arrêté du 23 février 1938",2018-12-31
4,IM3ETL,Couvent de Bischenberg,Molsheim,7.47976708205684,48.4832213397913,bon,0.0,Intérieurs pas visités,Choeur de l'église (cad. 8 525) : inscription par arrêté du 16 novembre 1984,2018-12-31
5,IPYYM9,Chapelle avec Mont des Oliviers,Molsheim,7.44031931508875,48.4780373546455,moyen,40.0,Traitement de la toiture et du grès ,"La maison en totalité, avec la dépendance et le sol (cad. AE 571) : inscription par arrêté du 26 janvier 2012",2018-12-31
6,I38SCI,Maison du Conseil et annexe (ancienne) ,Molsheim,7.43959888515727,48.477733596755,bon,15.0,"Salissures, léger développement cryptogamique","Eglise (cad. ZK 4) et vestiges de l'ancien prieuré comprenant : l'ancien presbytère (cad. ZK 4) , l'ancienne chapelle (cad. ZK 1, 2) , l'emplacement des bâtiments prieuraux détruits (cad. ZK 3, 4) , le cloître avec son puits (cad. ZK 4) : inscription par arrêté du 30 avril 1999",2018-12-31
7,I84R2A,Eglise catholique Saint-Médard,Molsheim,7.44019810207449,48.4779818291917,bon,,"Rejointoiement de l'embase de l'édifice en grès, tuiles faîtière à revoir","La maison, y compris son décor intérieur (cad. B 96) : inscription par arrêté du 28 décembre 1984",2018-12-31
8,I1S8J7,Hôtel de Ville,Molsheim,7.44008871849113,48.477648656082,bon,20.0,Travaux de mise aux normes + restauration de la toiture de la tour d'escalier 2018,Château de Lancheneil et ses anciens colombiers : inscription par arrêté du 10 décembre 1927,2018-12-31
9,I0W46R,Maison,Molsheim,7.43882864072933,48.4782447136725,moyen,3.0,Couverture en mauvais état,Façade sur la place : inscription par arrêté du 27 novembre 1946,2018-12-31
