,id,name,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
0,IBKS38,Chapelle Notre-Dame du Chêne,Mulhouse,7.50806244007517,47.5977456634547,bon,50.0,bien entretenue,"Chapelle Notre-Dame du Chêne, à l'exception de l'auvent moderne (cad. 34 132) : inscription par arrêté du 26 mars 1986",2015-12-31
1,IBX8RZ,Maison,Mulhouse,7.36129468201553,47.6989894202502,bon,60.0,certains travaux ont été réalisés sans autorisation,Façades (cad. 3 72) : inscription par arrêté du 9 juillet 1986,2018-12-31
2,IGUXZQ,Tour de l'ancienne église,Mulhouse,7.40319459880366,47.6898917918183,moyen,100.0,"menuiseries, maçonneries, couverture et charpente.",Tour : inscription par arrêté du 18 novembre 1937,2018-12-31
3,IXY3SR,Eglise catholique Saint-Louis (ancienne),Mulhouse,7.5835825181242,47.5920747651977,moyen,,,Façades et toitures : inscription par arrêté du 11 octobre 1930,2012-09-26
4,IZ4FA5,Monument du Général Abbatucci,Mulhouse,7.58449769846976,47.5921420413269,bon,30.0,restauré en 2014,Monument du Général Abatucci : inscription par arrêté du 23 février 1938,2018-12-31
5,I5JKYL,Monument du général Chérin,Mulhouse,7.57776068052449,47.5938784973994,moyen,5.0,,Voir commune de : Toulouse-le-Château,2018-12-31
6,I21VSM,Fontaine publique,Mulhouse,7.38762312880135,47.6833093911908,bon,,refaite en 2010 sans autorisation (cuve du bassin en béton),Fontaine publique : classement par arrêté du 6 décembre 1984,
7,ICXTD2,Château de Landskron (ruines),Mulhouse,7.49072464034387,47.4883719936251,moyen,20.0,travaux d'entretien réalisés par l'association Pro Landskron,Château de Landskron (ruines) : classement par arrêté du 28 mai 1923,2018-12-31
8,I1LSYX,Chapelle Saint-Jean,Mulhouse,7.33173665224536,47.7457033911291,moyen,0.0,"Décors muraux:dégradation rapide par encrassement, révision couverture globale à prévoir rapidement",Chapelle Saint-Jean : classement par arrêté du 21 février 1893,2018-12-31
9,IFR8SH,Cour des Chaînes,Mulhouse,7.33359879446261,47.7477012454744,moyen,0.0,Importantes remontées capillaires sur rue:prévoir étude. Décors intérieurs dégradés par chauffage,Ancienne église (cad. AE 15) : inscription par arrêté du 15 novembre 1993,2018-12-31
10,IMSHMX,Cour de Lorraine,Mulhouse,7.33460521717154,47.7479968411015,bon,50.0,Travaux rénovation réceptionnés février 2017,"Entourage de l'accès situé avenue du Général-Leclerc, face au n°40 (élément non cadastré, se situant face à la parcelle cadastrale CK 23) : inscription par arrêté du 12 février 2016",2018-12-31
11,IGJ1L9,Temple réformé Saint-Etienne,Mulhouse,7.33878485286121,47.747182739348,moyen,0.0,"restauration partielle, tour restaurée en 2013 suivi d'autres restaurations sur différents parties",Eglise : classement par arrêté du 8 juillet 1907,2018-12-31
12,IHD6RK,Fortifications (anciennes),Mulhouse,7.34209312480987,47.748552229251,bon,80.0,"Altération superficielle de la toiture,développement cryptogamique,porte de la tour alétérée",Tour de Cochon (ou Bollwerk) : classement par arrêté du 6 décembre 1898,2018-12-31
13,IQ7CMN,Hôtel de Ville (ancien),Mulhouse,7.3392833683037,47.7466488068446,moyen,40.0,"enduits ciment,remontées capillaires,baies+vitraux+porte endommagés, travaux de couverture à prévoir",Le porche : classement par arrêté du 6 avril 1908,2018-12-31
14,I2KMHM,Hôtel Loewenfels (ancien),Mulhouse,7.33561454165585,47.7480804631126,bon,,"Qq joints & décors sculptés dégradés, menuiseries sans entretien récent, croûtes noires en formation",Façade et toiture sur rue (cad. AK 115/7) : inscription par arrêté du 15 novembre 1985,
15,IRN3UG,Square de la Bourse et Place de la République,Mulhouse,7.34290751307255,47.7445350920696,moyen,80.0,plusieurs propriétaires ce qui complique la coordination des travaux de restauration démarré 2013,"Façades et toitures, ainsi que le retour sur la rue adjacente (cad. BT 23) : inscription par arrêté du 9 juillet 1986",2018-12-31
16,I9JL4L,Maison Mieg (ancienne),Mulhouse,7.3385015546459,47.7465218824556,moyen,20.0,"maçonneries altéré par endroit,encadrement oriel délité,prévoir travaux chéneaux,enduits,menuiseries",Eglise : classement par arrêté du 21 octobre 1911,2018-12-31
17,IIXCWJ,Synagogue,Mulhouse,7.33385542260132,47.7450844417269,bon,50.0,"Revêtement soubassement inadapté, qq dégradation parements et décors en grès - int. non visité",Synagogue (cad. AS 2) : inscription par arrêté du 5 décembre 1984,2018-12-31
18,IM9L31,Tour du Diable,Mulhouse,7.33067384928245,47.7434778751668,bon,0.0,"restaurée en 2014-enduits dégradés et joints soubassement défectueux, intrusion pigeons",Eglise : classement par arrêté du 1er juin 1943,2018-12-31
19,IVYA2S,Tribunal d'Instance,Mulhouse,7.34458901937952,47.7532335957778,bon,,"Entretien courant couv., mitres cheminées, porte principale et tvx entretien/restau. salles audience","Ensemble des façades et toitures ; deux portes cochères flanquant les extrémités des deux ailes ; pièces et locaux suivants avec leur décor : hall d'entrée, escalier principal et sa cage, escaliers secondaires aux extrémités des ailes et leur cage, couloirs au rez-de-chaussée et au premier étage, salle d'audience n° 1 (ancienne salle des Assises) , salle d'audience civile (ancienne salle des Prudhommes) (cad. 89 3) : inscription par arrêté du 1er octobre 1987",
20,IXNAF2,Eglise catholique Saints-Pierre-et-Paul,Mulhouse,7.50756294950301,47.7873132750917,bon,20.0,travaux de restauration en cours,Eglise : classement par liste de 1862,2018-12-31
21,IR1BQM,Maison,Mulhouse,7.50609113198148,47.7889407311514,bon,5.0,reprisze en duit déposé dans miroir pans de bois à prévoir,Façades et toitures (cad. 3 66) : inscription par arrêté du 29 décembre 1977,2018-12-31
22,IP5U0O,Château de Butenheim (vestiges du),Mulhouse,7.51516076143401,47.7459126515758,,0.0,,Château de Butenheim (vestiges du) (cad. 9 46) : inscription par arrêté du 1er juin 1964,2018-12-31
23,ISOHL9,Manufacture Zuber (ancienne),Mulhouse,7.39648505851071,47.7450113117245,,20.0,,Eglise (ruines de l') (cad. C 338) : classement par arrêté du 26 août 1963,2018-12-31
24,I5LQIH,Stèle géodésique,Mulhouse,7.38747312817199,47.7907049132093,bon,20.0,diagnostic réalisé en 2011,"Château : classement par liste de 1840 ; Parc du château : les trois pavillons du 17e siècle, à l'exclusion de la construction postérieure adossée contre l'un d'eux (cad. AD 72, 76) ; façades et toitures du corps de bâtiment des communs, face au château, et pavillon accolé au nord (cad. AD 75) ; parc et ses murs de clôture (cad. AD 55 à 83) : inscription par arrêté du 8 septembre 1993",2018-12-31
25,IC8PVM,Manoir seigneurial (ancien),Mulhouse,7.37121122986261,47.6752119624968,moyen,100.0,"jambage de la porte repris sans autorisation (élargissement), fronton en grès calcareux érodé","Le site archéologique immergé dans le lac au large des berges de la commune de Brison-Saint-Innocent, en totalité (cad. Z, non cadastré) et situé autour d'un point central X 875.940 ; Y 2088.110 ; Z 228.60 (- 2.90) coordonnées Lambert II étendu, correspondant à une surface de pieux de 1,4 ha, suivant le plan annexé à l'arrêté : classement par arrêté du 24 octobre 2011",2018-12-31
26,IJOTPB,Eglise catholique Saint-Maurice,Mulhouse,7.34998762293644,47.6633772253341,moyen,50.0,chute de tuiles,"Clocher, choeur (cad. I 47) : inscription par arrêté du 9 novembre 1984",2018-12-31
27,I5U8JW,Eglise catholique Saint-Michel,Mulhouse,7.30561410825277,47.8769102973636,bon,65.0,intérieurs non visités,"Façade et toiture correspondante donnant sur la place (cad. Z 177, 542) : inscription par arrêté du 3 février 1992",2018-12-31
28,I7PCJK,Plate-forme et constructions attenantes de la pièce 380,Mulhouse,7.30552408114642,47.6792975633272,moyen,70.0,"dévégétalisation, entretien à prévoir avant restauration",Voir commune de : Lisle-sur-Tarn,2018-12-31
29,II7QQK,Château de Hegenheim,Mulhouse,7.52869340214565,47.5624056630887,bon,,"restauration de menuiseries projetée, remontée de capillarité escalier principal","Façades, y compris l'escalier extérieur, et toitures ; cave voûtée ; grand escalier en bois ; salon Sud-Est au rez-de-chaussée avec ses portes, lambris, trumeaux, consoles et parquet ; salle à manger Nord-Est du rez-de-chaussée avec ses portes, lambris, trumeau et parquet (cad. 2 66) : inscription par arrêté du 6 mars 1990",2018-12-31
30,IHCFC7,Couvent cistercien de Schoenensteinbach,Mulhouse,7.30263620642393,47.8233452544663,bon,0.0,"mise en valeur des ruines,entretien continu à prévoir",L'hôtel en totalité (cad. AP 87) : inscription par arrêté du 19 avril 2004,2018-12-31
31,IUCLXW,Motte féodale ,Mulhouse,7.34193767426775,47.8085455710936,bon,70.0,aménagement des abords en 2013,Façades et toitures sur la place avec retour sur les rues de Chartres et Toutfaire (cad. A 418) : inscription par arrêté du 18 août 1953,2018-12-31
32,IP5CMM,Eglise catholique Sainte-Jeanne-d'Arc,Mulhouse,7.34180194966652,47.7588790101863,moyen,,Toit à reprendre et enduits extérieurs dégradés (pollution + nombreuses fissures et reprises),Eglise : inscription par arrêté du 30 octobre 1990,2018-12-31
33,IZ9SC5,Eglise catholique Sainte-Barbe,Mulhouse,7.33531357650851,47.8253577994261,mauvais,20.0,remontées capillaires importantes ,Eglise (cad. 62 87) : classement par arrêté du 21 janvier 1993,2018-12-31
