,id,name,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
0,IN5B7W,Banc-reposoir napoléonien,Saverne,7.21007461162045,48.9050647632023,bon,50.0,éléments verticaux restaurés,Croix de chemin (non cadastré ; domaine public) : inscription par arrêté du 22 décembre 1927,2018-12-31
1,I0AWMW,Banc-reposoir napoléonien,Saverne,7.3845440229619985,48.65073697976936,bon,10.0,Déplacement et reconstruction en 2012.,Façade et toiture sur rue de l'hôtel (sauf le bâtiment clôturant la cour) (cad. 09 : 02 AR 27) : inscription par arrêté du 30 décembre 1977,2018-12-31
2,INS1EF,Banc-reposoir napoléonien,Saverne,7.452013702289938,48.71978010166977,bon,0.0,éléments en grès entièrement refaits,Tour de l'Horloge : classement par liste de 1862,2018-12-31
3,IK4BKR,Eglise protestante,Saverne,7.15668419580098,48.8978883876707,bon,100.0,Intérieurs non visités.,Eglise protestante (cad. 1 121) : classement par arrêté du 26 juin 1990,2018-12-31
4,IELOXO,Château,Saverne,7.34394304165807,48.6586014115652,bon,25.0,Intérieurs non visités. Entretien de la couverture.,Château et escalier conduisant de la route au château : inscription par arrêté du 16 octobre 1930,2018-12-31
5,I3D6RR,Eglise catholique Saint-Louis,Saverne,7.34427895920137,48.6590905063052,bon,15.0,Intérieur non visités. Peinture des soubassements dégradées. Entretien de la couverture à prévoir.,Eglise catholique : inscription par arrêté du 16 octobre 1930,2018-12-31
6,IRLAIP,Banc-reposoir napoléonien,Saverne,7.54338435336212,48.8909525596581,bon,0.0,entretenu,"Le monument aux morts de la guerre 1870-1871, tel que représenté sur le plan annexé à l’arrêté, et situé sur la place du Sacré-Coeur, domaine public communal non cadastré : inscription par arrêté du 21 décembre 2020",2018-12-31
7,IVJ0MF,Banc-reposoir napoléonien,Saverne,7.434315068260021,48.8030262877607,bon,30.0,bien entretenu,Façades et toitures : inscription par arrêté du 17 septembre 1937,2018-12-31
8,IPOSPE,Banc-reposoir napoléonien,Saverne,7.44377583637739,48.8336639601908,bon,25.0,éléments verticaux et d'assise refaits,Croix de chemin du 16e siècle : classement par arrêté du 19 janvier 1911,2018-12-31
9,IB29R3,Banc-reposoir napoléonien,Saverne,7.48188930509498,48.8012104203935,bon,80.0,"éléments métalliques corrodés, éclatements de grès en partie haute","Banc-reposoir napoléonien (cad. 399/22 1, 2) : inscription par arrêté du 9 mai 1988",2018-12-31
