,id,name,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
0,I7Y72V,Bain rituel juif,Strasbourg,7.7554295833721,48.6146244535661,moyen,25.0,,Le porche et le chapiteau soutenant l'arc triomphal à droite : inscription par arrêté du 6 décembre 1948,2012-09-26
1,IUP3A4,Château de la Cour d'Angleterre,Strasbourg,7.79908757891752,48.6298390611404,bon,10.0,,Les façades et les toitures sur rues et sur cour ; l'escalier avec sa rampe en fer forgé et sa cage ; le grand salon du rez-de-chaussée avec son decor (cad. K 307) : inscription par arrêté du 21 décembre 1984,2018-12-31
2,I3EVLD,Eglise protestante,Strasbourg,7.75610915234953,48.6153028865604,moyen,30.0,couverture à réviser (travaux d'entretien) ,Façades et toitures (cad. 2 26) : inscription par arrêté du 8 octobre 1984,2018-12-31
3,IT0GCN,Tour sur le Gloeckelsberg,Strasbourg,7.60594055163011,48.5092832300818,bon,20.0,,Fontaine monumentale : inscription par arrêté du 9 mars 1927,2018-12-31
4,IL2L79,Château,Strasbourg,7.60473314414203,48.578758204262,bon,5.0,travaux de restauration en cours d'achèvement,Façades et toitures : inscription par arrêté du 18 juin 1929,2018-12-31
5,I6TJS9,Eglise protestante,Strasbourg,7.69478483707433,48.6813609111495,bon,50.0,Intérieurs pas vus.,Tour et pierre tombale : inscription par arrêté du 18 juin 1929,2018-12-31
6,IZTWWM,Eglise Saint-Trophime,Strasbourg,7.71608788586213,48.490356064559,mauvais,50.0,"mise hors d'eau à prévoir,la couverture ne fait plus son office. maçonneries et charpente à assainir",Allée couverte : classement par arrêté du 28 janvier 1907,2018-12-31
7,IQ32JU,Calvaire,Strasbourg,7.64337615205225,48.5142296347723,moyen,,remontées capillaires importantes,Calvaire daté de 1770 (cad. 3 17) : classement par arrêté du 14 février 1989,2018-12-31
8,IPFPF3,Eglise protestante,Strasbourg,7.61233343682071,48.5571945392113,moyen,25.0,remontées capillaires importantes et enduits ciments,"Les maisons sises 2 et 4, rue du Cloître-Notre-Dame, en totalité (cad. AB 64) : inscription par arrêté du 16 juin 2005 - La maison sise 6, rue du Cloître Notre-Dame, en totalité (cad. AB 64) : classement par arrêté du 8 octobre 2007",2018-12-31
9,IUCHAN,Maison d'habitation juive,Strasbourg,7.75501606821901,48.6206881535102,moyen,0.0,flambement de la façade Nord relativement important prévoir travaux de restauration + menuiseries,Ensemble de la toiture couvrant le bâtiment ; vestibule d'entrée ; grand escalier ; salle du Conseil municipal (cad. BH 288) : inscription par arrêté du 21 novembre 1989 ; Façade du 18e siècle sur la place (cad. BH 288) : classement par arrêté du 4 juin 1993,2018-12-31
