,id,name,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
0,IUC05M,Motte castrale,Thann-Guebwiller,7.25027839146988,47.9194909070445,bon,5.0,maison construite sur la motte,Motte castrale : inscription par arrêté du 15 novembre 1985,2018-12-31
1,IAPI3L,[A RADIER] Eglise catholique Saint-Jean-Baptiste,Thann-Guebwiller,7.18257579037662,47.9273169756127,,,,"La chapelle, le porche couvert, le corps de logis, la grange sud-ouest, le mur d'enceinte et le sol (cad. B 532 à 535) : inscription par arrêté du 26 décembre 2001",
2,IC03SQ,Maison,Thann-Guebwiller,7.18431086237072,47.9311312254019,bon,,enduits réalisés en 2018 + bandes solines,Façades et toitures (cad. 11 89) : inscription par arrêté du 24 avril 1989,2018-12-31
3,IS28RU,Fortifications (anciennes),Thann-Guebwiller,7.1754097,47.8071309,mauvais,0.0,,Chaire à prêcher (cad. AC 22) : classement par arrêté du 13 juillet 1907,2020-06-23
4,I7X41X,Porte de Thann,Thann-Guebwiller,7.1713543,47.8099716,bon,30.0,Restauration récente,Porte de Thann : classement par arrêté du 19 mars 1920,2018-12-31
5,IXPYEN,Cimetière Saint-Martin (DETRUIT),Thann-Guebwiller,7.36223022598063,47.8627882088801,péril,10.0,détruit,Chapelle Notre-Dame-de-Carami (cad. D 458) : inscription par arrêté du 2 décembre 1988,2018-12-31
6,ITUXFA,Maison centrale de détention,Thann-Guebwiller,7.35135364021869,47.8649229596325,moyen,0.0,,La colonne : classement par arrêté du 31 mars 1905,2018-12-31
7,I1GFXD,Hôtel de Ville,Thann-Guebwiller,7.35211560196156,47.8653305107563,moyen,12.0,,Hôtel de Ville : classement par arrêté du 6 décembre 1898,2018-12-31
8,IWYCQH,Hôtel de la Couronne,Thann-Guebwiller,7.35264371153383,47.86504654574,bon,10.0,,Facades sur rue et sur cour et toiture : inscription par arrêté du 15 février 1935,2018-12-31
9,IDFO0H,Hôtel particulier (ancien),Thann-Guebwiller,7.35397486658775,47.8653290877867,bon,50.0,,"Corps principal (cad. 2 82/45, 83/45) : inscription par arrêté du 25 juillet 1994 modifiée par arrêté du 6 octobre 1994 et par arrêté du 1er décembre 1994",2018-12-31
10,IRGHRN,Maison,Thann-Guebwiller,7.35201617146244,47.8655363417755,bon,0.0,,Porte sur la place : inscription par arrêté du 15 février 1935,2018-12-31
11,I4ENMG,Maison,Thann-Guebwiller,7.35315648536978,47.8653930920574,bon,,,Le cimetière en totalité (cad. B 342) : inscription par arrêté du 5 janvier 2004 - L'église en totalité (cad. B 343) : classement par arrêté du 2 septembre 2004,2018-12-31
12,IBSGBS,Maison,Thann-Guebwiller,7.3533230465434,47.8659880443269,moyen,80.0,,Cheminée sarrazine de type polygonal (cad. AC 55) : inscription par arrêté du 29 novembre 1974,2018-12-31
13,IM3RF7,Maison,Thann-Guebwiller,7.35517718802932,47.8651697605074,mauvais,40.0,,Eglise (cad. AB 252) : inscription par arrêté du 16 octobre 1930,2018-12-31
14,IDH3IV,Maison,Thann-Guebwiller,7.35396374308071,47.866191312075,bon,30.0,,"Façades et toitures sur rues, y compris les verrières du rez-de-chaussée ; salle à manger avec lambris et cycle peint sur les murs et le plafond (cad. 3 195) : inscription par arrêté du 19 septembre 1995",2018-12-31
15,I9G17P,Château de Freundstein (ruines),Thann-Guebwiller,7.12499640792737,47.8703864614454,mauvais,100.0,"arases instables, certaines maçonneries déverses",Château de Freundstein (ruines) : classement par arrêté du 27 avril 1922,2018-12-31
16,I4BTUZ,Eglise catholique Saint-Pantaléon,Thann-Guebwiller,7.27515312791724,48.0048294196891,moyen,50.0,extension de protection prévue,Calvaire de Bonigeard (ancien) (cad. YM 45) : inscription par arrêté du 6 juin 1933,2018-12-31
17,INTXGN,Maison,Thann-Guebwiller,7.2751559934513,48.0032643943085,bon,0.0,devenu le 18 rue haute,Maison (cad. AH 74) : inscription par arrêté du 12 avril 1937,2018-12-31
18,IT94GH,Maison,Thann-Guebwiller,7.274968396865,48.0040953385548,moyen,80.0,"quelques fissurations des marches et du noyau de l'escalier hélicoïdal, semble stable",Porte datée de 1619 de la tourelle d'escalier : inscription par arrêté du 22 mars 1934,2018-12-31
19,IF0PDB,Maison,Thann-Guebwiller,7.27607113152691,48.0046038886707,bon,0.0,devenu le 4 rue du nord,Quatre bas-reliefs encastrés dans la façade principale : inscription par arrêté du 22 mars 1934,2018-12-31
20,ILXC9S,Pont,Thann-Guebwiller,7.2752905000752,48.0043894713072,moyen,,légère faiblesse des joints,Les façades et les toitures (cad. AM 7) : inscription par arrêté du 15 janvier 1979,2018-12-31
21,IFBYNR,Eglise Notre-Dame,Thann-Guebwiller,7.21451419752131,47.9058049377114,péril,20.0,Importants problèmes d'étanchéité - phase étude diagnostic,Eglise : inscription par arrêté du 16 juin 1926,2018-12-31
22,I9U0ZF,Couvent des Dominicains (ancien),Thann-Guebwiller,7.2122425,47.9077112,moyen,100.0,"vérification couverture, restauration de meneaux instables et tourelle d'escalier sculptée à prévoir",Eglise des Dominicains (ancienne) : classement par arrêté du 12 août 1920 ; Couvent des Dominicains (ancien) (cad. 5 64) : classement par arrêté du 2 janvier 1976,2018-12-31
23,IDQKJ3,Eglise Saint-Léger,Thann-Guebwiller,7.20925402566498,47.9116993030223,mauvais,0.0,"Nombreuses fissures/cassures en façade, végétalisation, infiltrations, remontées capillaires. ",Le portail occidental : classement par arrêté du 2 septembre 1907,2018-12-31
24,IXPKFI,Hôtel du Grand-Doyenné (ancien),Thann-Guebwiller,7.21530689567469,47.9058654124796,bon,0.0,,Façades et toitures : inscription par arrêté du 15 février 1935,2018-12-31
25,IK2YKZ,Hôtel de Ville,Thann-Guebwiller,7.21095190173273,47.9093753548602,bon,3.0,,"Façades et toitures du bâtiment principal, oriel, tourelle d'escalier : classement par arrêté du 21 novembre 1975",2018-12-31
26,I69KEA,Immeuble,Thann-Guebwiller,7.20879335519162,47.9121618361666,mauvais,30.0,Intérieurs non visités - Grès des façades à consolider rapidement + enduit à restaurer,"La maison en totalité (cad. 01 135, cf plan annexé à l'arrêté) : inscription par arrêté du 10 octobre 2011",2018-12-31
27,IRWHGH,Hôtel canonial (ancien),Thann-Guebwiller,7.21453972576796,47.9063438905738,mauvais,20.0,"Nombreux éléments défectueux en toiture/couverture, réserves sur cheminée, désquamation en façade. ",Les façades et les toitures sur rue et sur cour : inscription par arrêté du 27 septembre 1948,2018-12-31
28,I5OFE5,Maison,Thann-Guebwiller,7.2126244897829,47.9081658309083,moyen,10.0,"Peinture inadaptée, nombreuses épaufrures, enduit de façade inadapté. ",Dolmen numéro 4 du Bois des Géantes : classement par liste de 1900,2018-12-31
29,IQBNIN,Immeuble,Thann-Guebwiller,7.21265831339974,47.9083506004443,bon,10.0,,Façade sur rue et toiture (cad. 5 31) : inscription par arrêté du 13 octobre 1975,2018-12-31
30,I19D33,Immeuble,Thann-Guebwiller,7.21060683046929,47.9100854921864,mauvais,30.0,"Risque de chute d'éléments ornementaux, tuiles manquantes, infiltrations, peinture façade inadapatée",Croix des Buttes (cad. AK 127) : inscription par arrêté du 8 mai 1933,2018-12-31
31,I2HPER,Puits Saint-Léger,Thann-Guebwiller,7.20902850556742,47.9113283607115,bon,0.0,Travaux de restauration été 2018,"La maison de maître ; le bâtiment des anciennes forges ; le bief (cad. F 788 à 792, 1225 à 1227) : inscription par arrêté du 5 août 2008",2018-12-31
32,IB0UAD,Synagogue,Thann-Guebwiller,7.21078341889799,47.9085425619205,,20.0,"Problèmes d'étanchéité réglés en 2016, mais édifice vétuste",Synagogue (cad. 4 119) : inscription par arrêté du 16 juillet 1984,2020-06-24
33,IG73UR,Eglise Sainte-Agathe,Thann-Guebwiller,7.2944904494202,47.9301293009999,bon,,Salissures,Les vestiges de l'ancien château de la duchesse de Longueville (situés dans le parc des Capucins) et l'église de l'ancien couvent : classement par arrêté du 14 janvier 1930,2018-12-31
34,IWMI99,Champ de bataille de l'Hartmannswillerkopf,Thann-Guebwiller,7.153719,47.8589938,bon,10.0,,La motte castrale (cad. C 405) dont la délimitation figure sur le plan annexé à l'arrêté : inscription par arrêté du 12 février 2015,2018-12-31
35,IDZK3Q,Château,Thann-Guebwiller,7.21888419557054,47.8625317413585,moyen,0.0,enduits extérieurs + couverture à reprendre,"Façades et toitures, à l'exception des ajouts sur les façades nord et est ; vestibule, cave, petit escalier en vis, assise du pressoir dans le garage, ancienne chapelle présumée voûtée d'arêtes, tourelle avec l'escalier en vis principal, plafond à caissons dans la pièce à l'angle sud-ouest du second étage (cad. 1 34) : inscription par arrêté du 9 mai 1988",2018-12-31
36,IEZY5V,Cimetière fortifié,Thann-Guebwiller,7.21826785184697,47.8612592867942,moyen,15.0,Toiture du colombarium en mauvais état,Pont suspendu sur la Cance dit Pont du Moulin (ancien) (cad. NON CADASTRE) : classement par arrêté du 6 avril 1981,2017-12-31
37,IVQK6X,Eglise catholique Sainte-Colombe,Thann-Guebwiller,7.30169986123112,48.0122655336797,bon,,édifice entretenu,Eglise catholique Sainte-Colombe (cad. 1 150) : inscription par arrêté du 17 avril 1984,2018-12-31
38,I3ZKLX,Préceptorerie des Antonins (ancienne),Thann-Guebwiller,7.24988273356041,47.9022281806529,bon,0.0,Restauration des intérieurs et aménagement muséographique 2018,"Parties suivantes du bâtiment de la porterie : façades sur rue, passage d'entrée, porte de la façade ouest et pierre armoriée la surmontant ; à l'intérieur du corps ouest : porte à moulures entrecroisées et plafond gothique de l'actuelle cuisine au premier étage, porte à moulures entrecroisées surmontée d'un écu au second étage (cad. 16 2) : inscription par arrêté du 2 novembre 1988 ; Sol de la cour contenant les vestiges de l'église médiévale ; couloir voûté de trois croisées d'ogives à clefs blasonnées et salle polygonale du rez-de-chaussée du bâtiment de la porterie (cad. 16 2) : classement par arrêté du 30 septembre 1994",2018-12-31
39,I2PUE3,Basilique Notre-Dame-de-Thierenbach,Thann-Guebwiller,7.18919300839043,47.8817247765868,bon,,,Eglise Saint-Martin (cad. B 312) : inscription par arrêté du 31 décembre 1980,2018-12-31
40,ILV8DX,Eglise catholique Saint-Jean-Baptiste,Thann-Guebwiller,7.15906411120414,47.9411149385974,péril,,"Toiture défectueuse, voies d'eau, chutes d'éléments de plafond, risque pour le public",Eglise paroissiale : classement par arrêté du 6 décembre 1898,2018-12-31
41,I8OEI2,Eglise catholique Saint-Blaise (ruines de l'ancienne),Thann-Guebwiller,7.09460845224413,47.7944928443825,moyen,,,Eglise : classement par arrêté du 19 septembre 1930,2012-10-01
42,IZODDO,Abbaye (ancienne),Thann-Guebwiller,6.99735835620753,47.7729496908698,mauvais,10.0,"travaux enduit, menuiserie, abords réalisés en infraction et non conformes en 2014",Eglise : classement par liste de 1862,2018-12-31
43,IFSGCD,Tannerie Chagué (ancienne),Thann-Guebwiller,6.99585838773925,47.7745052376111,moyen,100.0,"reconstruit après incendie, enduits durs","Façades, toiture et passage d'entrée du porche du bâtiment sur rue (cad. 2 102) : inscription par arrêté du 16 juillet 1987",2018-12-31
44,IZAJ64,Eglise catholique Saint-Martin,Thann-Guebwiller,6.99573486648701,47.7762703747337,bon,5.0,"couvertines refaites à la fin des années 1990,",Façade et tour : inscription par arrêté du 24 mai 1937,2018-12-31
45,IL1CZR,Fontaine,Thann-Guebwiller,6.99659314257293,47.7732462561548,mauvais,5.0,"fntaine hors eau, fuyardes, oxydations, travaux prévus en 2018",Porte Saint-Georges (ancienne) : classement par liste de 1862,2018-12-31
46,ILCXK2,Fontaine ,Thann-Guebwiller,6.9976839783349,47.774599591472,moyen,50.0,"en eau, colonne penche légèrement, cerclage métallique à l'ext, peinture étanche à l'int, tvx prévus",Croix du cimetière : inscription par arrêté du 10 février 1948,2018-12-31
47,ITDJ6X,Hôtel de Ville,Thann-Guebwiller,6.99732974392234,47.7736483215216,moyen,0.0,menuiseries à changer coté ouest,"En totalité : le corps de logis ; la tour ; l'aile sud (cad. AB 157, 166) : inscription par arrêté du 25 mai 2009",2018-12-31
48,IYKZP1,Maison,Thann-Guebwiller,6.9963437423177,47.7733845891022,moyen,,"présence de bouchons en ciment/platre, ouvrant en bon état",Portail d'entrée : inscription par arrêté du 24 mai 1937,2018-12-31
49,IYG4YI,Maison,Thann-Guebwiller,6.99633693173173,47.773364248418,bon,,excellent état,Calvaire (restes) : inscription par arrêté du 2 avril 1927,2018-12-31
50,IKW3W8,Maison,Thann-Guebwiller,6.99628046910058,47.773214250923,bon,45.0,excellent état,Façade : classement par arrêté du 10 février 1921,2018-12-31
51,IOP3C6,Capplerhof,Thann-Guebwiller,6.99533403620492,47.7743182827305,bon,70.0,"rénovation récente, enduits durs et couverture neuve",Façade et arcade : inscription par arrêté du 14 juin 1928,2018-12-31
52,I5O0FX,Eglise catholique Saints-Pierre-et-Paul,Thann-Guebwiller,7.29177240331811,47.9115396280925,bon,70.0,salissures,Chapelle des Récollets : inscription par arrêté du 24 janvier 1930,2018-12-31
53,I08ZA2,Eglise catholique Saints-Pierre-et-Paul,Thann-Guebwiller,7.35792608512565,47.9144369357859,bon,0.0,vérification couverture,Clocher (cad. 1 46) : inscription par arrêté du 21 décembre 1984,2018-12-31
54,IH9AGK,Motte castrale,Thann-Guebwiller,7.35835178871312,47.914865170423,bon,70.0,mise en valeur,Façades et toitures (cf plan annexé au dossier) ; escalier à balustres dans l'aile est ; ancienne chapelle Saint-Gilles avec peintures murales au rez-de-chaussée de l'aile nord (cad. 82 1) : inscription par arrêté du 5 avril 2002,2018-12-31
55,I2199A,Cimetière militaire,Thann-Guebwiller,7.05472578144576,47.85946444036,bon,10.0,entretenu,Cimetière militaire (cad. 13 89) : classement par arrêté du 5 janvier 1923,2018-12-31
56,IQ3AS2,Abbaye (ancienne),Thann-Guebwiller,7.1579060760203,47.92333017288,mauvais,40.0,"Plancher de la tour effondré, édifice cimenté (pathologies liées à l'humidité), à assainir d'urgence",Eglise : classement par arrêté du 20 mars 1912,2018-12-31
57,I6JGZ8,Statue monumentale de la Vierge à l'Enfant ,Thann-Guebwiller,6.96885633103573,47.7888150554647,,10.0,,Voir commune de : Ferrières,
58,IBZ9F9,Stèle géodésique,Thann-Guebwiller,7.40122832141895,47.9617332696268,bon,50.0,travaux de mise en valeur des abords en 2013,Stèle géodésique (cad. 53 115) : classement par arrêté du 5 décembre 1979,2018-12-31
59,IUFYLO,Château (ancien),Thann-Guebwiller,7.23499012969856,47.9352428333024,mauvais,50.0,,Façade : inscription par arrêté du 23 octobre 1926,2018-12-31
60,I7B4TE,Fontaine,Thann-Guebwiller,7.23436584540367,47.9357831161603,mauvais,30.0,"fontaine déplacée, fût délité, pas en eau.",Fontaine : inscription par arrêté du 22 mars 1934,2018-12-31
61,IXN9LS,Eglise catholique Saint-Etienne,Thann-Guebwiller,7.21856849419966,47.9859673504178,bon,0.0,Restauration complète des extérieurs 2018,Eglise : inscription par arrêté du 16 mars 1926,2018-12-31
