ID,Nom,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
IN5B7W,Banc-reposoir napoléonien,Saverne,7.21007461162045,48.9050647632023,bon,0.0,éléments verticaux restaurés,Banc-reposoir napoléonien : inscription par arrêté du 9 mai 1988,2018-12-31
I0AWMW,Banc-reposoir napoléonien,Saverne,7.3845440229619985,48.65073697976936,bon,20.0,Déplacement et reconstruction en 2012.,Banc-reposoir napoléonien : inscription par arrêté du 9 mai 1988,2018-12-31
INS1EF,Banc-reposoir napoléonien,Saverne,7.452013702289938,48.71978010166977,bon,20.0,éléments en grès entièrement refaits,Banc-reposoir napoléonien : inscription par arrêté du 9 mai 1988,2018-12-31
I50BPJ,Abbaye,Molsheim,7.5276449,48.5226069,moyen,30.0,"Couverture tour de croisée, escalier tribune et intrados des voûtes à réviser","Maître-autel : classement par décret du 12 mai 1932 ; Façade à pignon sur rue et portail Renaissance de l'ancienne maison abbatiale actuellement presbytère : inscription par arrêté du 28 juillet 1937 ; Eglise, actuellement église paroissiale Saint-Cyriaque (cad. A 180) : classement par arrêté du 21 mars 1983",2018-12-31
IN6T99,Ancienne Bonneterie Allenbach ,Sélestat-Erstein,7.42246262522949,48.3861649664361,bon,5.0,,Cheminée (cad. 2 141) : inscription par arrêté du 20 décembre 1988,2018-12-31
IDUFQJ,Château Haut-Andlau (ruines),Sélestat-Erstein,7.41244341598506,48.4012779182028,mauvais,40.0,massif rocheux en cours d'étude BRGM.consolidation au ciment ont accentués les risques,Château Haut-Andlau (ruines) : classement par arrêté du 16 juin 1926,2018-12-31
IWXYV8,Ruines du château de Spesbourg ,Sélestat-Erstein,7.39732376686969,48.4019701476683,bon,100.0,,Château de Spesbourg (ruines) (cad. 27 14) : classement par arrêté du 18 décembre 1967,2018-12-31
IXX21P,Église Saints-Pierre-et-Paul,Sélestat-Erstein,7.41530328310429,48.3878189793711,bon,50.0,"La couverture est à restaurer (tuiles poreuses), les maçonneries saines pathologies liées à humidité",Eglise Sainte-Richarde : classement par liste de 1846,2018-12-31
IIOXVE,Hôpital Stolz-Grimm,Sélestat-Erstein,7.41414051421594,48.3877974482278,bon,20.0,,Porte d'entrée sur cour et escalier principal : inscription par arrêté du 25 avril 1935,2018-12-31
I68RL1,Ancien Hôtel d'Andlau,Sélestat-Erstein,7.41694788024151,48.3869313503535,moyen,20.0,,Façades : inscription par arrêté du 21 avril 1939,2018-12-31
IU5X2B,Maison,Sélestat-Erstein,7.41683528696463,48.3869104137419,bon,20.0,,Porte sur rue datée de 1573 : inscription par arrêté du 21 avril 1934,2018-12-31
IIZJEW,Immeuble (ancienne salle capitulaire),Sélestat-Erstein,7.415643823458845,48.38762409335733,moyen,20.0,sol étanche,Immeuble : inscription par arrêté du 4 juin 1936,2018-12-31
IC0RN5,Puits Sainte-Richarde,Sélestat-Erstein,7.41650898585361,48.3873336982278,moyen,20.0,"Le puit n'est plus en eau, victime des intempéries les elements en grès se délitent","Puits Sainte-Richarde, dans les jardins de l'abbaye (actuellement de l'Hôpital) : classement par arrêté du 12 décembre 1930",2018-12-31
INRG4C,Chapelle Saint-Ulrich,Molsheim,7.50045196198329,48.562143878931,mauvais,20.0,édifice très cimenté > humidité > peintures murales en danger,"Baptistère (ancien) , dit chapelle Saint-Ulrich : classement par liste de 1862",2018-12-31
ITKWWC,Eglise Dompeter,Molsheim,7.50542394683883,48.5566659921283,moyen,20.0,"Très cimenté, pathologies liées à l'humidité, à assainir d'urgence",L'église Dompeter : inscription par arrêté du 16 octobre 1930,2018-12-31
IWB5UR,Eglise protestante,Sélestat-Erstein,7.53727700562112,48.2374537773543,bon,20.0,enduits ciment à purger,"L'église, y compris les peintures murales qu'elle renferme ainsi que les monuments funéraires (cad. 1 23) : classement par arrêté du 2 juin 1970",2018-12-31
I3GY9S,Immeuble Boegler,Sélestat-Erstein,7.53903265997363,48.2374034026373,bon,20.0,,"Façades, toiture et porte d'entrée sur rue : classement par arrêté du 28 octobre 1929",2018-12-31
IIPKOF,Eglise protestante ,Molsheim,7.18686352446558,48.4216210969373,moyen,20.0,"Intérieurs non vus. Enduits ext. cimentés, salissures, probable humidité","La tour ainsi que la pierre tombale datée de 1486 et placée dans la nef, à l'entrée du choeur : inscription par arrêté du 23 février 1938",2018-12-31
IU04JP,Eglise protestante,Sélestat-Erstein,7.44785530065839,48.4093918697808,bon,0.0,,Tour de l'église avec les monuments funéraires qu'elle renferme : inscription par arrêté du 25 avril 1935,2018-12-31
IV0SWQ,Ancien Hôtel Marco,Sélestat-Erstein,7.45113414510052,48.4102541868861,moyen,30.0,"maçonneries saines, entrées cochères en mauvais état projet de restauration en cours","Les façades et les toitures du bâtiment principal avec les deux entrées cochères et leurs balcons ; l'escalier intérieur en bois à balustres avec départ de rampe sculptée ; façades du pavillon des communs avec sa toiture à comble brisé, les deux petits pavillons d'angle de la propriété : inscription par arrêté du 25 avril 1935",2018-12-31
I9RPI5,Hôtel de Ville,Sélestat-Erstein,7.44925930932663,48.4088601104961,bon,10.0,,Façades et toiture : inscription par arrêté du 5 mai 1931,2018-12-31
IC35E4,Maison,Sélestat-Erstein,7.44943849738771,48.4091963518648,bon,0.0,,Façade principale : inscription par arrêté du 25 avril 1935,2018-12-31
