ID,Nom,Arrondissemnt,Coor_x,Coor_y,Status,Dommages,Commentaire,Précision,Date
IN5B7W,Banc-reposoir napoléonien,Saverne,7.21007461162045,48.9050647632023,bon,10.0,éléments verticaux restaurés,Banc-reposoir napoléonien : inscription par arrêté du 9 mai 1988,2018-12-31
I0AWMW,Banc-reposoir napoléonien,Saverne,7.3845440229619985,48.65073697976936,bon,20.0,Déplacement et reconstruction en 2012.,Banc-reposoir napoléonien : inscription par arrêté du 9 mai 1988,2018-12-31
INS1EF,Banc-reposoir napoléonien,Saverne,7.452013702289938,48.71978010166977,bon,85.0,éléments en grès entièrement refaits,Banc-reposoir napoléonien : inscription par arrêté du 9 mai 1988,2018-12-31
I50BPJ,Abbaye,Molsheim,7.5276449,48.5226069,moyen,0.0,"Couverture tour de croisée, escalier tribune et intrados des voûtes à réviser","Maître-autel : classement par décret du 12 mai 1932 ; Façade à pignon sur rue et portail Renaissance de l'ancienne maison abbatiale actuellement presbytère : inscription par arrêté du 28 juillet 1937 ; Eglise, actuellement église paroissiale Saint-Cyriaque (cad. A 180) : classement par arrêté du 21 mars 1983",2018-12-31
IN6T99,Ancienne Bonneterie Allenbach ,Sélestat-Erstein,7.42246262522949,48.3861649664361,bon,35.0,,Cheminée (cad. 2 141) : inscription par arrêté du 20 décembre 1988,2018-12-31
IDUFQJ,Château Haut-Andlau (ruines),Sélestat-Erstein,7.41244341598506,48.4012779182028,mauvais,85.0,massif rocheux en cours d'étude BRGM.consolidation au ciment ont accentués les risques,Château Haut-Andlau (ruines) : classement par arrêté du 16 juin 1926,2018-12-31
IWXYV8,Ruines du château de Spesbourg ,Sélestat-Erstein,7.39732376686969,48.4019701476683,bon,5.0,,Château de Spesbourg (ruines) (cad. 27 14) : classement par arrêté du 18 décembre 1967,2018-12-31
IXX21P,Église Saints-Pierre-et-Paul,Sélestat-Erstein,7.41530328310429,48.3878189793711,bon,15.0,"La couverture est à restaurer (tuiles poreuses), les maçonneries saines pathologies liées à humidité",Eglise Sainte-Richarde : classement par liste de 1846,2018-12-31
IIOXVE,Hôpital Stolz-Grimm,Sélestat-Erstein,7.41414051421594,48.3877974482278,bon,,,Porte d'entrée sur cour et escalier principal : inscription par arrêté du 25 avril 1935,2018-12-31
I68RL1,Ancien Hôtel d'Andlau,Sélestat-Erstein,7.41694788024151,48.3869313503535,moyen,,,Façades : inscription par arrêté du 21 avril 1939,2012-09-26
