Commune;Code département;DMAJ;INSEE;Région;Département;Commune 1;Appellation courante;Adresse 1;Siècle;Date de protection;Précision protection;Auteur;Statut;Description;Historique;Affectataire;Adresse;Précision Localisation;Référence;Contact;Longitude;Latitude;coordonnees
Wangen;67;2021-11-08;67517;Grand Est;Bas-Rhin;Wangen;Eglise simultanée Saint-Etienne;;"1er quart 13e siècle;4e quart 16e siècle";1999/12/06 : inscrit MH;"Tympan sculpté de 1214 ; inscription commémorative de 1581 (cad. D 169) : inscription par arrêté du 6 décembre 1999";;;;"L'église primitive remonte au 13e siècle ; elle aurait été élevée en 1214 sous le règne de Frédéric II de Hohenstaufen comme le précise un tympan en grès sculpté de l'Agneau de Dieu, vestige le plus ancien conservé. Un fragment de vitrail gothique représentant un Christ trônant a été inséré dans la verrière du portail d'entrée de l'édifice actuel, reconstruit en 1831. Dans le mur occidental de la nef, une longue inscription en langue allemande commémore un agrandissement antérieur de l'église sous l'abbesse Odile de Dürmentz en 1581.";;;Anciennement région de : Alsace;PA67000035;mediatheque.patrimoine@culture.gouv.fr;7.46468027707352;48.6170677144196;48.6170677144196,7.46468027707352
Dambach-la-Ville;67;2022-02-21;67084;Grand Est;Bas-Rhin;Dambach-la-Ville;Chapelle Notre-Dame ou chapelle de la Vierge;;2e quart 15e siècle;1930/01/06 : inscrit MH;Chapelle de la Vierge : inscription par arrêté du 6 janvier 1930;;;;;;;Anciennement région de : Alsace;PA00084675;mediatheque.patrimoine@culture.gouv.fr;7.42344200120391;48.3277693531236;48.3277693531236,7.42344200120391
Surbourg;67;2022-02-21;67487;Grand Est;Bas-Rhin;Surbourg;Ancienne collégiale Saint-Arbogast;place de l'Eglise;"11e siècle;12e siècle;13e siècle";1874/06/04 : classé MH;Collégiale : classement par arrêté du 4 juin 1874;;;;;;Eglise (place de l');Anciennement région de : Alsace;PA00085200;mediatheque.patrimoine@culture.gouv.fr;7.84718501740922;48.9094962301244;48.9094962301244,7.84718501740922
Ranrupt;67;2022-02-21;67384;Grand Est;Bas-Rhin;Ranrupt;Scierie communale;R.N. 424;4e quart 19e siècle;1995/01/19 : inscrit MH;Scierie, avec ses installations techniques extérieures et intérieures (cad. 28 58) : inscription par arrêté du 19 janvier 1995;Brion Philippe-Auguste (architecte);;;Réalisée entre 1884 et 1886 par Philippe Auguste Brion, architecte local, la scierie hydraulique de Ranrupt, comme toutes les scieries vosgiennes, tire de ses propres chantiers les matériaux de son enveloppe, en essentage de planches reposant sur un solin de pierre. L'artisan ou sagard y avait son logement. L'équipement, qui date du début du 20e siècle, comprend un chariot mobile sur rail, sur lequel étaient fixées les grumes, ainsi qu'une scie verticale, les engrenages et les courroies, qu'entraînaient, soit la turbine hydraulique, soit le moteur diesel. Ce petit atelier a cessé de fonctionner en 1992.;;R.N. 424;Anciennement région de : Alsace;PA00135147;mediatheque.patrimoine@culture.gouv.fr;7.193380236695;48.379036996259;48.379036996259,7.193380236695
Westhoffen;67;2022-03-28;67525;Grand Est;Bas-Rhin;Westhoffen;Maison;127, anciennement Principale (rue) 76 rue Byris;17e siècle;1931/04/29 : inscrit MH;Facades et toiture : inscription par arrêté du 29 avril 1931;;;;Cette maison a subi des dommages de guerre.;;"Birris (rue) 29, anciennement 127 ; Principale (ancienne rue) 76";Anciennement région de : Alsace;PA00085227;mediatheque.patrimoine@culture.gouv.fr;7.44436787451914;48.602343921647;48.602343921647,7.44436787451914
Saint-Pierre;67;2022-03-28;67429;Grand Est;Bas-Rhin;Saint-Pierre;Château d'Ittenwiller;;"2e moitié 16e siècle;17e siècle";1937/10/20 : inscrit MH;Façades et toitures du bâtiment principal, vestiges du mur d'enceinte avec les restes du portail roman, la porte d'entrée de l'enceinte avec les façades et toitures des bâtiments annexes, le puits Renaissance : inscription par arrêté du 20 octobre 1937;;;;;;;Anciennement région de : Alsace;PA00084925;mediatheque.patrimoine@culture.gouv.fr;7.45412909002017;48.3846302968103;48.3846302968103,7.45412909002017
Saverne;67;2022-03-28;67437;Grand Est;Bas-Rhin;Saverne;Maison;6 rue des Eglises;3e quart 16e siècle;1929/10/12 : inscrit MH;Façades et toitures : inscription par arrêté du 12 octobre 1929;;;;;;Eglises (rue des) 6;Anciennement région de : Alsace;PA00084959;mediatheque.patrimoine@culture.gouv.fr;7.36305796344699;48.7405387584701;48.7405387584701,7.36305796344699
Strasbourg;67;2022-03-28;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;20 quai Saint-Nicolas;"16e siècle;17e siècle;18e siècle";1929/06/18 : inscrit MH;Façades et toitures sur rue et sur cour et escalier du 18s : inscription par arrêté du 18 juin 1929;;;;;;Saint-Nicolas (quai) 20;Anciennement région de : Alsace;PA00085168;mediatheque.patrimoine@culture.gouv.fr;7.75035223806366;48.5788176378626;48.5788176378626,7.75035223806366
Strasbourg;67;2022-03-28;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;10 rue des Pucelles;16e siècle;1929/06/13 : inscrit MH;Maison : inscription par arrêté du 13 juin 1929;;;;;;Pucelles (rue des) 10;Anciennement région de : Alsace;PA00085153;mediatheque.patrimoine@culture.gouv.fr;7.75393546966447;48.5841238598465;48.5841238598465,7.75393546966447
Saverne;67;2022-02-21;67437;Grand Est;Bas-Rhin;Saverne;Ruines du château Greifenstein;;"12e siècle;13e siècle;14e siècle;15e siècle";1898/12/06 : classé MH;Château Greifenstein (ruines) : classement par arrêté du 6 décembre 1898;;;;;ministère chargé de l'agriculture;;Anciennement région de : Alsace;PA00084951;mediatheque.patrimoine@culture.gouv.fr;7.33396712954088;48.7357629641295;48.7357629641295,7.33396712954088
